name,affiliation
Registered Voters,
Ballots Cast,
Blank Ballots Cast,
Gary Johnson,Libertarian
Jill Stein,Statehood Green
Donald J. Trump,Republican
Hillary Clinton,Democratic
Write-In,
Over Votes,
Under Votes,
Natale (Lino) Stracuzzi,Statehood Green
Eleanor Holmes Norton,Democratic
Martin Moulton,Libertarian
Matthew Klokel,Libertarian
John C. Cheeks,Independent
G. Lee Aikin,Statehood Green
Carolina Celnik,Republican
David Grosso,Independent
Robert White,Democratic
Franklin Garcia,Democratic
Mary Lord,
"Tony Donaldson, Jr.",
Ashley Carter,
Karen Wirt,
Mohammed Seid,
Phil Tsolakidis,
Sterlicia Rodney,
Lily Roberts,
Marge Maceda,
Alex Marriott,
Alvin Judd Sr.,
Kevin M. Rogers,
Yes,
No,
Jack Evans,Democratic
Jack Jacobson,
Patrick Kennedy,
Florence E. Harmon,
Detrick Campbell,
No Candidate,
Matthew Chwastek,
Marco Guzman,
William K. Smith,
Philip J. Schrefer,
Rebecca Coder,
Mike Silverstein,
Joe Gibbons,
Rick Murphy,
Greg Miller,
Bill Starrels,
Lisa Palmer,
Jim Wilcox,
Monica L. Roaché,
Ed Solomon,
Zachary Schroepfer,
Stephen Gardner,
"Conrad J. DeWitte, Jr.",
Chuck Elkins,
Troy Kravitz,
Tom Smith,
Gretchen M. Randolph,
Joe Green,
Holmes Whalen,
Alma H. Gates,
Michael Gold,
Silvia Lucero,
Ann Lane Mladinov,
Jackie Blumenthal,
Melissa Lane,
Brian G. Turmail,
Chaz Rotenberg,
Malia N. Brink,
David R. Bender,
Ellen Goldstein,
Amy Johnson,
Daniel Warwick,
Stephanie Maltz,
John Kupcinski,
Nicole Mann,
Michael Upright,
Teal Baker,
Randy D. Downs,
Casey Root,
Jason Forman,
John Guggenmos,
John Fanning,
John Tinpe,
Pepin Andrew Tuma,
Alex J. Graham,
Ron Rubin,
Omeed Alerasool,
Kevin J Sylvester,
Mary A. Sutherland,
"Alexander M. ""Alex"" Padro",
Leroy Thorpe,
Valerie Randolph,
Eugene Simms,
Anthony Brown,
Frank S. Wiggins,
Kennith James,
Bradley Ashton Thomas,
Katherine McClelland,
Chad Hrdina,
Aravind Muthukrishnan,
Serita Sanders,
Bertha G. Holliday,
Jonathan Goldman,
Anita Norman,
Robb Hudson,
Brad Gudzinas,
Jon Squicciarini,
Nathan Ackerman,
John Carlos Green,
Sedrick Muhammad,
Joshua R. Mater,
Brendan Reardon,
Wilson Reynolds,
"Chris ""Ward One"" Otten",
Amanda Fox Perry,
JonMarc P. Buffa,
Hector Huezo,
Ted Guthrie,
A. Tianna Scozzaro,
Gwendolyn Bole,
Jessica Wasserman,
Emma Hersh,
Margaret A. Siegel,
Bob Ward,
Nancy J. MacWood,
David Dickinson,
Patrick Jakopchek,
Mary C. Young,
Maureen Kinlan Boucher,
Angela Bradbery,
Anne Wallace,
Amy B. Hall,
Jonathan McHugh,
Jonathan Bender,
Tom Quinn,
Dan Bradfield,
Chris Fromboluti,
Sandra Brown Gage,
Andrea Molod,
Malachy Nugent,
Lee Brian Reba,
Shirley Adelstein,
Zach Rybarczyk,
Margaret Hundley,
Jessica L. Smith,
James A. Turner,
Richard DuBeshter,
Darwain Frost,
Sharon Farmer,
Bobby Holmes,
Amanda Frost,
Rashida E. Brown,
Christine Miller,
''Franko'' Frank O. Agbro,
Jon Stewart,
Jack McKay,
Benjamin Mann,
Yasmin Romero-Latin,
Stuart Karaffa,
Paul Karrer,
Alex Hastie,
Capree Bell,
Valerie Baron,
Ernest E. Johnson,
Vickey A. Wright-Smith,
Sadaf Megan Mortezavi,
Kent Boese,
Ronnie Edwards,
A. Jamaal Lampkin,
"Sandra ""Sandi"" Washington",
C Dianne Barnes,
Kirby Vining,
Brandon Todd,Democratic
Lannette Woodruff,
Karen W. Cooper,
Timothy A. Jones,
Jonah Goodman,
Joseph Martin,
Krystal Branton,
Bill Quirk,
Amy Hemingway,
Gale Black,
Michael Halpern,
Zach Teutsch,
Thomas Burnett,
Maria Barry,
Ulysses E. Campbell,
Randy Speck,
Peter Shapiro,
Abraham Clayman,
"Carolyn ""Callie"" Cook",
Chanda Tuck - Garfield,
Rebecca Maydak,
Karrye Y. Braxton,
David Wilson,
Sean Wieland,
Charlotte Nugent,
Lisa Colbert,
Aaron Polkey,
David Sheon,
Nancy E. Roth,
Renée L. Bowser,
Natalee S. Snider,
Ron Austin,
Barbara Rogers,
Ron Harden,
Brenda Parks,
Yolanda Hughes,
Perry Redd,
Scot Knickerbocker,
Michael Bethea,
Patience R. Singleton,
Kolleen Bouchane,
Deborah Pope,
"Stacey ""San"" Lucien",
"Stephen A ""Steve"" Whatley",
Rosemary Suggs-Evans,
Phyllis C. Green,
Acqunetta Anderson,
Stacey Lincoln,
Hashim Coward,
Andre R. Carley,
James D. Gaston III,
Judi Jones,
La Roya A. Huff,
Tischa M. Cockrell,
Frank Wilds,
Grace J. Lewis,
Charles T Lockett,
Ben Mossberg,
Lionell K. Gaines,
Will Gee,
Keisha S. Cofield-Lynch,
Angel Sherri Alston,
Gordon-Andrew Fletcher,
Gayle Hall Carley,
Ursula Higgins,
"John J. Feeley, Jr.",
Gail A. Brevard,
Henri Makembe,
Jeff Steen,
Yolanda Odunsi,
Kevin Mullone,
Carlos Dennis Davis,
"Sumner Shaw, Jr.",
Jacqueline Manning,
"Bernice ""BB"" Young",
Regina James,
Michelle A. Bundy,
LaMonica Jeffrey,
Rayseen Woodland,
Carolyn C. Steptoe,
Eddie Garnett,
Patricia L. Williams,
"Nancy ""Darlene"" Jones",
Michael J. Henderson,
Hannah R. Powell,
Michael Aiello,
Renee T. Lewis,
Mary Lois Farmer-Allen,
Sylvia M. Pinkney,
Peta - Gay S. Lewis,
Vonetta Dumas,
Keisha L. Shropshire,
Yoomie Huynh,
H. Yvonne Buggs,
Clarence Lee,
James Butler,
Adam Roberts,
Bernice S Blacknell,
"Vincent ""Sasquatch"" Coles",
Kathy Henderson,
Gary Butler,Independent
Christian Carter,Independent
Vincent C. Gray,Democratic
Dorothy Douglas,
Marla M. Dean,
Karen Williams,
Veronica E. Raglin,
Bob Coomber,
Phil Toomajian,
Yair Inspektor,
Patrick Malone,
H.J. Amons Sr.,
Stephanie Zimny,
Peter Grant,
Sondra Phillips-Gilbert,
Calvin Ward,
Marie-Claire Brown,
Mark Eckenwiler,
Chris Miller,
Heather Edelman,
Scott Price,
Michael B Soderman,
Christine Healey,
Matt Levy,
Nick Burger,
Chander Jayaraman,
Daniel Ridge,
Kathryn Denise Rucker Krepp,
Cam Norris,
Kirsten Oldenburg,
Steve Hagedorn,
Jennifer E Samolyk,
Diane Hoskins,
James M Loots,
Aimee M. Grace,
Siraaj Hasan,
Anthony Lorenzo Green,
Alex Bess,
Antawan Holmes,
Patricia Malloy,
Sherice A. Muhammad,
Antonio Cadogan Jr.,
Elizabeth B Hall,
Mary C. Morgan,
Joseph C. Thomas,
Mary L. Gaffney,
Catherine A. Woods,
Antonio Johnson,
Janis D. Hazel,
Gia Stancell,
Maria (Mafe) Jackson,
David Belt,
Tyrell M. Holcomb,
Justin A. Lini,
Cinque E. Culver,
Jo-Anne Prue,
Carol E. Fletcher,
Myron Smith,
"Takiyah ""T.N."" Tate",
Terrance Hunter,
Angeleah Jamison,
Sheila M. Carson Carr,
Karen Settles,
Ebbon A. Allen,
Ashley Emerson,
Dontrell A. Smith,
LaKeshia Lloyd-Lee,
Adrian J. Polite,
La Shawn Scott,
Linda M. Holmes,
Diona Lane,
"Benjamin E. Thomas, Sr.",
Linda S. Green,
Charlene Exum,
Phillip J. Hammond,
D.L. Humphrey,
Jimmie Williams,
Robin Hammond Marlin,
Toya S. Carmichael,
"Villareal ""VJ"" Johnson",
Donovan Anderson,
