name,parent,localetype,source
Ward 1,District of Columbia,Ward,
Ward 2,District of Columbia,Ward,
Ward 3,District of Columbia,Ward,
Ward 4,District of Columbia,Ward,
Ward 5,District of Columbia,Ward,
Ward 6,District of Columbia,Ward,
Ward 7,District of Columbia,Ward,
Ward 8,District of Columbia,Ward,
Precinct 1,Ward 6,Precinct,
Precinct 2,Ward 2,Precinct,
Precinct 3,Ward 2,Precinct,
Precinct 4,Ward 2,Precinct,
Precinct 5,Ward 2,Precinct,
Precinct 6,Ward 2,Precinct,
Precinct 7,Ward 3,Precinct,
Precinct 8,Ward 3,Precinct,
Precinct 9,Ward 3,Precinct,
Precinct 10,Ward 3,Precinct,
Precinct 11,Ward 3,Precinct,
Precinct 12,Ward 3,Precinct,
Precinct 13,Ward 2,Precinct,
Precinct 14,Ward 2,Precinct,
Precinct 15,Ward 2,Precinct,
Precinct 16,Ward 2,Precinct,
Precinct 17,Ward 2,Precinct,
Precinct 18,Ward 6,Precinct,
Precinct 19,Ward 5,Precinct,
Precinct 20,Ward 1,Precinct,
Precinct 21,Ward 6,Precinct,
Precinct 22,Ward 1,Precinct,
Precinct 23,Ward 1,Precinct,
Precinct 24,Ward 1,Precinct,
Precinct 25,Ward 1,Precinct,
Precinct 26,Ward 3,Precinct,
Precinct 27,Ward 3,Precinct,
Precinct 28,Ward 3,Precinct,
Precinct 29,Ward 3,Precinct,
Precinct 30,Ward 3,Precinct,
Precinct 31,Ward 3,Precinct,
Precinct 32,Ward 3,Precinct,
Precinct 33,Ward 3,Precinct,
Precinct 34,Ward 3,Precinct,
Precinct 35,Ward 1,Precinct,
Precinct 36,Ward 1,Precinct,
Precinct 37,Ward 1,Precinct,
Precinct 38,Ward 1,Precinct,
Precinct 39,Ward 1,Precinct,
Precinct 40,Ward 1,Precinct,
Precinct 41,Ward 1,Precinct,
Precinct 42,Ward 1,Precinct,
Precinct 43,Ward 1,Precinct,
Precinct 44,Ward 5,Precinct,
Precinct 45,Ward 4,Precinct,
Precinct 46,Ward 4,Precinct,
Precinct 47,Ward 4,Precinct,
Precinct 48,Ward 4,Precinct,
Precinct 49,Ward 4,Precinct,
Precinct 50,Ward 3,Precinct,
Precinct 51,Ward 4,Precinct,
Precinct 52,Ward 4,Precinct,
Precinct 53,Ward 4,Precinct,
Precinct 54,Ward 4,Precinct,
Precinct 55,Ward 4,Precinct,
Precinct 56,Ward 4,Precinct,
Precinct 57,Ward 4,Precinct,
Precinct 58,Ward 4,Precinct,
Precinct 59,Ward 4,Precinct,
Precinct 60,Ward 4,Precinct,
Precinct 61,Ward 4,Precinct,
Precinct 62,Ward 4,Precinct,
Precinct 63,Ward 4,Precinct,
Precinct 64,Ward 4,Precinct,
Precinct 65,Ward 4,Precinct,
Precinct 66,Ward 5,Precinct,
Precinct 67,Ward 5,Precinct,
